currency_name,dollar_to_currency,currency_to_dollar
USD,1,1
EUR,0.9124101365942007,1.0959983453633586
GBP,0.7845784595095253,1.2745697869721586
INR,82.82348573780213,0.012073870003077906
AUD,1.4943002156468466,0.6692095668119301
CAD,1.3399650963804888,0.7462880956386089
SGD,1.3312644566224452,0.7511655516869299
CHF,0.852200516247569,1.1734327554778134
MYR,4.64599817388342,0.2152389997958472
JPY,144.83580435611964,0.006904370120672774
CNY,7.135630900979077,0.14014177777367806
NZD,1.60046673891993,0.6248177332787602
THB,34.93961017384265,0.028620811595334986
HUF,345.9199937881844,0.0028908418650479203
AED,3.6725,0.27229407760381213
HKD,7.819580302234966,0.1278841013646453
MXN,16.85893241133374,0.05931573694000522
ZAR,18.627792873319972,0.0536832252108767
PHP,55.872248343898306,0.01789797313766429
SEK,10.276257860714583,0.0973116881216975
IDR,15527.774398688005,0.0000644007295781225
BRL,4.852853518057815,0.2060643281893691
SAR,3.75,0.26666666666666666
TRY,30.098152857265728,0.03322463025363362
KES,159.4959521103527,0.006269751594122689
KRW,1311.5913542326052,0.0007624325951622995
EGP,30.904206160518108,0.0323580549134945
IQD,1310.2112152037985,0.0007632357198564002
NOK,10.287203815507715,0.09720814498615492
KWD,0.3072498502689407,3.254680186580023
RUB,89.69874776782738,0.01114842765239443
DKK,6.804115048296883,0.1469698840924665
PKR,280.70573801027456,0.0035624494429230278
ILS,3.732017823861954,0.2679515605756629
PLN,3.975003444388288,0.25157210905357835
QAR,3.64,0.2747252747252747
XAU,0.0004880957734763618,2048.77824054428
OMR,0.38500065227139463,2.597398196860924
COP,3907.691683929678,0.00025590555265976703
CLP,908.6309035541756,0.0011005568884884143
TWD,31.093792080573937,0.03216076049549315
ARS,816.1269309148854,0.001225299597550336
CZK,22.524929311249814,0.04439525585994011
VND,24485.632841319202,0.0000408402758662832
MAD,9.959345717329935,0.1004082023440488
JOD,0.709,1.4104372355430184
BHD,0.376,2.6595744680851063
XOF,598.5018159699221,0.0016708387064447194
LKR,322.48774838433036,0.0031008929951913482
UAH,37.85148485020231,0.026419042844884725
NGN,958.9324232561606,0.0010428263512087638
TND,3.0929136248225926,0.3233197306172297
UGX,3802.817093325648,0.00026296294969198157
RON,4.538591815514088,0.2203326583769309
BDT,109.80348447861981,0.009107179109554699
PEN,3.6973045204766954,0.27046730786217993
GEL,2.6627087755141714,0.3755574057500521
XAF,598.5018159699221,0.0016708387064447194
FJD,2.235343261283358,0.4473585857350065
VEF,3591003.6220053714,2.784736818064129e-7
VES,35.91003622005371,0.02784736818064129
BYN,3.2998439849461056,0.3030446301588808
UZS,12354.718590097524,0.00008094073472474831
BGN,1.7845191174550354,0.5603750557887744
DZD,134.54948057123093,0.007432210037188488
IRR,42172.86457525971,0.000023711929698667898
DOP,58.58664309112938,0.01706873695501783
ISK,136.59290925557872,0.007321024242399742
CRC,520.4971325721556,0.0019212401710231742
XAG,0.04305485786500755,23.226182818565082
SYP,13001.857584863757,0.00007691208686704584
JMD,155.2912590590002,0.006439512475200342
LYD,4.790083875607657,0.20876461163702334
GHS,11.969803210006422,0.08354356228379994
MUR,44.15360330362553,0.022648208190924436
AOA,847.0626745243923,0.0011805501884042746
UYU,39.41015357096218,0.02537417161289142
AFN,71.0983979155988,0.01406501453362007
LBP,14966.983182501832,0.00006681373178591648
XPF,108.87949123995958,0.009184466134178561
TTD,6.784925833616661,0.1473855462126631
TZS,2514.6307558705726,0.0003976726991290604
ALL,94.74654410465246,0.010554474671872446
XCD,2.7035972684449536,0.3698775744714289
GTQ,7.817760747121044,0.12791386591975948
NPR,132.57969479478675,0.007542633142638081
BOB,6.904573456760964,0.14483153901720014
ZWD,361.9,0.002763194252555955
BBD,2,0.5
CUC,1,1
LAK,20561.062007526667,0.000048635620068357165
BND,1.3312644566224452,0.7511655516869299
BWP,13.5178546508411,0.07397623556617977
HNL,24.724219850447934,0.040446170032818356
PYG,7291.854007251784,0.00013713933370107178
ETB,56.40299351737194,0.017729555430280545
NAD,18.627792873319972,0.0536832252108767
PGK,3.7070791861135497,0.2697541513938865
SDG,600.9984174579416,0.0016638978921603913
MOP,8.054167711302016,0.12415932171324784
BMD,1,1
NIO,36.70077187220236,0.027247383337934996
BAM,1.7845191174550354,0.5603750557887744
KZT,452.0098789024371,0.0022123410276522794
PAB,1,1
GYD,208.92200161871094,0.0047864752982073695
YER,250.35499367556443,0.003994328155067289
MGA,4587.460010674233,0.0002179855514104039
KYD,0.8234015702872918,1.2144742445063488
MZN,63.87844005854287,0.01565473419644448
RSD,106.95613973617934,0.009349626888803437
SCR,13.240527526259227,0.07552569170803457
AMD,402.8554141314089,0.002482280155415278
AZN,1.701569573817081,0.5876926899654943
SBD,8.311802163429313,0.12031085200750452
SLL,22907.31541269644,0.000043654176929250614
TOP,2.3534616586636217,0.42490600869522355
BZD,2.0145001314301534,0.49640105969616904
GMD,67.22385437257377,0.01487567187768965
MWK,1682.2789906700214,0.0005944317235999708
BIF,2857.764458482926,0.00034992387039863335
HTG,131.72067692696518,0.0075918225090390885
SOS,571.2845860917614,0.001750441066231353
GNF,8588.622492479391,0.00011643310680794828
MNT,3419.6250015948817,0.0002924297253452087
MVR,15.421756430516496,0.06484345700216124
CDF,2705.84628140309,0.00036957014405173815
STN,22.588839548684728,0.04426964908244818
TJS,10.939768208771014,0.0914096149860145
KPW,900.0268975445995,0.001111077905258322
KGS,89.31864105147551,0.011195871189124865
LRD,190.374397024423,0.005252807182216371
LSL,18.627792873319972,0.0536832252108767
